PILOT_CODE;ORGANIZATION_CODE;SCOPE_CODE;CURRENCY_CODE;ENDPOINT_CODE;SOURCE_URL;RETRIEVED_AT;EVIDENCE_ID;WORKFLOW_RUN_ID;RAW_SHA256;VALUE_DATE;PARSER_VERSION;OBSERVATION_COUNT;RAW_MAPPING_CODE;RAW_SERIES_CODE;RAW_SPEC_CODE;EUR_MAPPING_CODE;EUR_SERIES_CODE;EUR_SPEC_CODE;USD_MAPPING_CODE;USD_SERIES_CODE;USD_SPEC_CODE;SELECTOR;QUALITY_PROFILE
BCEAO_XOF;BCEAO;UEMOA;XOF;BCEAO_FX_DAILY;https://www.bceao.int/fr;2026-08-03T01:47:58+00:00;CTE_BCEAO_FX_20260731_001;30777722357;76690835F3A8CD808880C80AEEC2E9F078CB6A76C9FAE0D8EBE1278AD2421206;2026-07-31;0.2.0;4;UEMOA_D09_FX_SNAPSHOT;PS_UEMOA_BCEAO_FX_SNAPSHOT;CS_UEMOA_BCEAO_FX_SNAPSHOT;UEMOA_D09_FX_EUR;PS_UEMOA_FX_XOF_EUR;CS_UEMOA_FX_XOF_EUR;UEMOA_D09_FX_USD;PS_UEMOA_FX_XOF_USD;CS_UEMOA_FX_XOF_USD;COURS_DES_DEVISES_TABLE;FX_BUY_SELL_DATE_SHA256_IDEMPOTENCE_AND_LINEAGE_CHECKS
BEAC_XAF;BEAC;CEMAC;XAF;BEAC_FX_DAILY;https://www.beac.int/index.php/accueil;2026-08-03T02:34:40+00:00;CTE_BEAC_FX_20260731_001;30779605759;C93BE111A3997C913917B5AAE425A02FB575FE0B39BFDA67953E237E0A11C23C;2026-07-31;0.2.0;13;CEMAC_D09_FX_SNAPSHOT;PS_CEMAC_BEAC_FX_SNAPSHOT;CS_CEMAC_BEAC_FX_SNAPSHOT;CEMAC_D09_FX_EUR;PS_CEMAC_FX_XAF_EUR;CS_CEMAC_FX_XAF_EUR;CEMAC_D09_FX_USD;PS_CEMAC_FX_XAF_USD;CS_CEMAC_FX_XAF_USD;DIV.taux_de_change|TABLE_FALLBACK;FX_DIV_BLOCK_BUY_SELL_DATE_SHA256_IDEMPOTENCE_AND_POSTGRES_LINEAGE_CHECKS
