ZONE_CODE;ZONE_TYPE;PRIMARY_REGION_CODE;REFERENCE_CURRENCY_CODE;COMMON_EXCHANGE_CODE;CENTRAL_BANK_CODE;MARKET_RELATION_TYPE;NAME_CANONICAL
UEMOA;MONETARY_UNION;AFRICA_OUEST;XOF;BRVM;BCEAO;COMMON_STOCK_MARKET_AND_MONETARY_UNION;UNION ECONOMIQUE ET MONETAIRE OUEST AFRICAINE
CEMAC;MONETARY_UNION;AFRICA_CENTRALE;XAF;BVMAC;BEAC;COMMON_STOCK_MARKET_AND_MONETARY_UNION;COMMUNAUTE ECONOMIQUE ET MONETAIRE DE L AFRIQUE CENTRALE
CMA;MONETARY_AREA;AFRICA_AUSTRALE;ZAR;JSE;SARB;CURRENCY_ARRANGEMENT;COMMON MONETARY AREA
