ASSET_CLASS_CODE;ASSET_SUBCLASS_CODE;NAME_FR;SUBCLASS_DIMENSION;SORT_ORDER;IS_ACTIVE;VERSION
OBLIGATIONS;COURT_TERME;Court terme;DURATION_BUCKET;10;True;0.1.0
OBLIGATIONS;MOYEN_TERME;Moyen terme;DURATION_BUCKET;20;True;0.1.0
OBLIGATIONS;LONG_TERME;Long terme;DURATION_BUCKET;30;True;0.1.0
DIVERSIFIE;PRUDENT;Prudent;RISK_PROFILE;10;True;0.1.0
DIVERSIFIE;EQUILIBRE;Équilibré;RISK_PROFILE;20;True;0.1.0
DIVERSIFIE;DYNAMIQUE;Dynamique;RISK_PROFILE;30;True;0.1.0
DIVERSIFIE;FLEXIBLE;Flexible;RISK_PROFILE;40;True;0.1.0
