CATEGORY_TEMPLATE_CODE;ASSET_CLASS_CODE;ASSET_SUBCLASS_CODE;CATEGORY_NAME_FR;CATEGORY_SUFFIX;CATEGORY_CODE_TEMPLATE;REFERENCE_BLOCK_CODE_TEMPLATE;PEER_GROUP_CODE_TEMPLATE;CATEGORY_WTI_CODE_TEMPLATE;CATEGORY_WTI_METHOD_CODE;CATEGORY_MEAN_METHOD_CODE;CATEGORY_MEDIAN_METHOD_CODE;PRIMARY_BENCHMARK_CODE_TEMPLATE;SECONDARY_BENCHMARK_CODE_TEMPLATE;WTI_BENCH_CODE_TEMPLATE;WTI_BENCH_METHOD_CODE;RISK_FREE_RATE_CODE_TEMPLATE;RISK_FREE_SELECTION_METHOD_CODE;MINIMUM_ACCEPTABLE_RETURN_CODE_TEMPLATE;MAR_METHOD_CODE;DISPLAY_SERIES_1_CODE_TEMPLATE;DISPLAY_SERIES_2_CODE_TEMPLATE;DISPLAY_SERIES_3_CODE_TEMPLATE;DISPLAY_SERIES_4_OPTIONAL_CODE_TEMPLATE;DEFAULT_REFERENCE_COUNT;MAX_REFERENCE_COUNT;RANKING_METHOD_CODE;LOCAL_FX_METHOD_CODE;AGGREGATE_FX_METHOD_CODE;CANONICAL_STATUS;PRODUCTION_STATUS;METHODOLOGY_STATUS;VERSION
TPL_ACTIONS;ACTIONS;;Actions;ACTIONS;{SCOPE}_ACTIONS;RB_{SCOPE}_ACTIONS;PG_{SCOPE}_ACTIONS;WTI_{SCOPE}_ACTIONS;WTI_ELIGIBLE_PEERS_VERSIONED_V1;PEER_ARITHMETIC_MEAN_V1;PEER_MEDIAN_V1;BM_{SCOPE}_EQUITY_PRIMARY;BM_{SCOPE}_EQUITY_SECONDARY;WTIB_{SCOPE}_ACTIONS;WTIB_EQUITY_MARKET_COMPOSITE_V1;RFR_{SCOPE}_DEFAULT;RISK_FREE_SERIES_SELECTION_V1;MAR_{SCOPE}_ACTIONS;MAR_RISK_FREE_OR_OBJECTIVE_V1;FUND_BASE_100;WTI_{SCOPE}_ACTIONS;BM_{SCOPE}_EQUITY_PRIMARY;WTIB_{SCOPE}_ACTIONS;2;3;RANK_TOTAL_RETURN_DESC_V1;FX_NATIVE_PLUS_EUR_USD_V1;FX_RECALCULATE_EUR_USD_V1;STRUCTURE_PREFILLED;NOT_ACTIVE;TO_VALIDATE;0.1.0
TPL_OBLIGATIONS_COURT_TERME;OBLIGATIONS;COURT_TERME;Obligations court terme;OBLIGATIONS_COURT_TERME;{SCOPE}_OBLIGATIONS_COURT_TERME;RB_{SCOPE}_OBLIGATIONS_COURT_TERME;PG_{SCOPE}_OBLIGATIONS_COURT_TERME;WTI_{SCOPE}_OBLIGATIONS_COURT_TERME;WTI_ELIGIBLE_PEERS_VERSIONED_V1;PEER_ARITHMETIC_MEAN_V1;PEER_MEDIAN_V1;BM_{SCOPE}_SOV_SHORT_TR;BM_{SCOPE}_SOV_ALL_TR;WTIB_{SCOPE}_OBLIGATIONS_COURT_TERME;WTIB_SOVEREIGN_SHORT_DURATION_V1;RFR_{SCOPE}_DEFAULT;RISK_FREE_SERIES_SELECTION_V1;MAR_{SCOPE}_OBLIGATIONS_COURT_TERME;MAR_RISK_FREE_OR_OBJECTIVE_V1;FUND_BASE_100;WTI_{SCOPE}_OBLIGATIONS_COURT_TERME;WTIB_{SCOPE}_OBLIGATIONS_COURT_TERME;BM_{SCOPE}_SOV_SHORT_TR;2;3;RANK_TOTAL_RETURN_DESC_V1;FX_NATIVE_PLUS_EUR_USD_V1;FX_RECALCULATE_EUR_USD_V1;STRUCTURE_PREFILLED;NOT_ACTIVE;TO_VALIDATE;0.1.0
TPL_OBLIGATIONS_MOYEN_TERME;OBLIGATIONS;MOYEN_TERME;Obligations moyen terme;OBLIGATIONS_MOYEN_TERME;{SCOPE}_OBLIGATIONS_MOYEN_TERME;RB_{SCOPE}_OBLIGATIONS_MOYEN_TERME;PG_{SCOPE}_OBLIGATIONS_MOYEN_TERME;WTI_{SCOPE}_OBLIGATIONS_MOYEN_TERME;WTI_ELIGIBLE_PEERS_VERSIONED_V1;PEER_ARITHMETIC_MEAN_V1;PEER_MEDIAN_V1;BM_{SCOPE}_SOV_MEDIUM_TR;BM_{SCOPE}_SOV_ALL_TR;WTIB_{SCOPE}_OBLIGATIONS_MOYEN_TERME;WTIB_SOVEREIGN_MEDIUM_DURATION_V1;RFR_{SCOPE}_DEFAULT;RISK_FREE_SERIES_SELECTION_V1;MAR_{SCOPE}_OBLIGATIONS_MOYEN_TERME;MAR_RISK_FREE_OR_OBJECTIVE_V1;FUND_BASE_100;WTI_{SCOPE}_OBLIGATIONS_MOYEN_TERME;WTIB_{SCOPE}_OBLIGATIONS_MOYEN_TERME;BM_{SCOPE}_SOV_MEDIUM_TR;2;3;RANK_TOTAL_RETURN_DESC_V1;FX_NATIVE_PLUS_EUR_USD_V1;FX_RECALCULATE_EUR_USD_V1;STRUCTURE_PREFILLED;NOT_ACTIVE;TO_VALIDATE;0.1.0
TPL_OBLIGATIONS_LONG_TERME;OBLIGATIONS;LONG_TERME;Obligations long terme;OBLIGATIONS_LONG_TERME;{SCOPE}_OBLIGATIONS_LONG_TERME;RB_{SCOPE}_OBLIGATIONS_LONG_TERME;PG_{SCOPE}_OBLIGATIONS_LONG_TERME;WTI_{SCOPE}_OBLIGATIONS_LONG_TERME;WTI_ELIGIBLE_PEERS_VERSIONED_V1;PEER_ARITHMETIC_MEAN_V1;PEER_MEDIAN_V1;BM_{SCOPE}_SOV_LONG_TR;BM_{SCOPE}_SOV_ALL_TR;WTIB_{SCOPE}_OBLIGATIONS_LONG_TERME;WTIB_SOVEREIGN_LONG_DURATION_V1;RFR_{SCOPE}_DEFAULT;RISK_FREE_SERIES_SELECTION_V1;MAR_{SCOPE}_OBLIGATIONS_LONG_TERME;MAR_RISK_FREE_OR_OBJECTIVE_V1;FUND_BASE_100;WTI_{SCOPE}_OBLIGATIONS_LONG_TERME;WTIB_{SCOPE}_OBLIGATIONS_LONG_TERME;BM_{SCOPE}_SOV_LONG_TR;2;3;RANK_TOTAL_RETURN_DESC_V1;FX_NATIVE_PLUS_EUR_USD_V1;FX_RECALCULATE_EUR_USD_V1;STRUCTURE_PREFILLED;NOT_ACTIVE;TO_VALIDATE;0.1.0
TPL_DIVERSIFIE_PRUDENT;DIVERSIFIE;PRUDENT;Diversifié prudent;DIVERSIFIE_PRUDENT;{SCOPE}_DIVERSIFIE_PRUDENT;RB_{SCOPE}_DIVERSIFIE_PRUDENT;PG_{SCOPE}_DIVERSIFIE_PRUDENT;WTI_{SCOPE}_DIVERSIFIE_PRUDENT;WTI_ELIGIBLE_PEERS_VERSIONED_V1;PEER_ARITHMETIC_MEAN_V1;PEER_MEDIAN_V1;BM_{SCOPE}_DIVERSIFIE_PRUDENT_COMPOSITE;BM_{SCOPE}_DIVERSIFIE_PRUDENT_SECONDARY;WTIB_{SCOPE}_DIVERSIFIE_PRUDENT;WTIB_DIVERSIFIED_PRUDENT_COMPOSITE_V1;RFR_{SCOPE}_DEFAULT;RISK_FREE_SERIES_SELECTION_V1;MAR_{SCOPE}_DIVERSIFIE_PRUDENT;MAR_RISK_FREE_OR_OBJECTIVE_V1;FUND_BASE_100;WTI_{SCOPE}_DIVERSIFIE_PRUDENT;WTIB_{SCOPE}_DIVERSIFIE_PRUDENT;BM_{SCOPE}_DIVERSIFIE_PRUDENT_COMPOSITE;2;3;RANK_TOTAL_RETURN_DESC_V1;FX_NATIVE_PLUS_EUR_USD_V1;FX_RECALCULATE_EUR_USD_V1;STRUCTURE_PREFILLED;NOT_ACTIVE;TO_VALIDATE;0.1.0
TPL_DIVERSIFIE_EQUILIBRE;DIVERSIFIE;EQUILIBRE;Diversifié équilibré;DIVERSIFIE_EQUILIBRE;{SCOPE}_DIVERSIFIE_EQUILIBRE;RB_{SCOPE}_DIVERSIFIE_EQUILIBRE;PG_{SCOPE}_DIVERSIFIE_EQUILIBRE;WTI_{SCOPE}_DIVERSIFIE_EQUILIBRE;WTI_ELIGIBLE_PEERS_VERSIONED_V1;PEER_ARITHMETIC_MEAN_V1;PEER_MEDIAN_V1;BM_{SCOPE}_DIVERSIFIE_EQUILIBRE_COMPOSITE;BM_{SCOPE}_DIVERSIFIE_EQUILIBRE_SECONDARY;WTIB_{SCOPE}_DIVERSIFIE_EQUILIBRE;WTIB_DIVERSIFIED_EQUILIBRE_COMPOSITE_V1;RFR_{SCOPE}_DEFAULT;RISK_FREE_SERIES_SELECTION_V1;MAR_{SCOPE}_DIVERSIFIE_EQUILIBRE;MAR_RISK_FREE_OR_OBJECTIVE_V1;FUND_BASE_100;WTI_{SCOPE}_DIVERSIFIE_EQUILIBRE;WTIB_{SCOPE}_DIVERSIFIE_EQUILIBRE;BM_{SCOPE}_DIVERSIFIE_EQUILIBRE_COMPOSITE;2;3;RANK_TOTAL_RETURN_DESC_V1;FX_NATIVE_PLUS_EUR_USD_V1;FX_RECALCULATE_EUR_USD_V1;STRUCTURE_PREFILLED;NOT_ACTIVE;TO_VALIDATE;0.1.0
TPL_DIVERSIFIE_DYNAMIQUE;DIVERSIFIE;DYNAMIQUE;Diversifié dynamique;DIVERSIFIE_DYNAMIQUE;{SCOPE}_DIVERSIFIE_DYNAMIQUE;RB_{SCOPE}_DIVERSIFIE_DYNAMIQUE;PG_{SCOPE}_DIVERSIFIE_DYNAMIQUE;WTI_{SCOPE}_DIVERSIFIE_DYNAMIQUE;WTI_ELIGIBLE_PEERS_VERSIONED_V1;PEER_ARITHMETIC_MEAN_V1;PEER_MEDIAN_V1;BM_{SCOPE}_DIVERSIFIE_DYNAMIQUE_COMPOSITE;BM_{SCOPE}_DIVERSIFIE_DYNAMIQUE_SECONDARY;WTIB_{SCOPE}_DIVERSIFIE_DYNAMIQUE;WTIB_DIVERSIFIED_DYNAMIQUE_COMPOSITE_V1;RFR_{SCOPE}_DEFAULT;RISK_FREE_SERIES_SELECTION_V1;MAR_{SCOPE}_DIVERSIFIE_DYNAMIQUE;MAR_RISK_FREE_OR_OBJECTIVE_V1;FUND_BASE_100;WTI_{SCOPE}_DIVERSIFIE_DYNAMIQUE;WTIB_{SCOPE}_DIVERSIFIE_DYNAMIQUE;BM_{SCOPE}_DIVERSIFIE_DYNAMIQUE_COMPOSITE;2;3;RANK_TOTAL_RETURN_DESC_V1;FX_NATIVE_PLUS_EUR_USD_V1;FX_RECALCULATE_EUR_USD_V1;STRUCTURE_PREFILLED;NOT_ACTIVE;TO_VALIDATE;0.1.0
TPL_DIVERSIFIE_FLEXIBLE;DIVERSIFIE;FLEXIBLE;Diversifié flexible;DIVERSIFIE_FLEXIBLE;{SCOPE}_DIVERSIFIE_FLEXIBLE;RB_{SCOPE}_DIVERSIFIE_FLEXIBLE;PG_{SCOPE}_DIVERSIFIE_FLEXIBLE;WTI_{SCOPE}_DIVERSIFIE_FLEXIBLE;WTI_ELIGIBLE_PEERS_VERSIONED_V1;PEER_ARITHMETIC_MEAN_V1;PEER_MEDIAN_V1;BM_{SCOPE}_DIVERSIFIE_FLEXIBLE_COMPOSITE;BM_{SCOPE}_DIVERSIFIE_FLEXIBLE_SECONDARY;WTIB_{SCOPE}_DIVERSIFIE_FLEXIBLE;WTIB_DIVERSIFIED_FLEXIBLE_COMPOSITE_V1;RFR_{SCOPE}_DEFAULT;RISK_FREE_SERIES_SELECTION_V1;MAR_{SCOPE}_DIVERSIFIE_FLEXIBLE;MAR_RISK_FREE_OR_OBJECTIVE_V1;FUND_BASE_100;WTI_{SCOPE}_DIVERSIFIE_FLEXIBLE;WTIB_{SCOPE}_DIVERSIFIE_FLEXIBLE;BM_{SCOPE}_DIVERSIFIE_FLEXIBLE_COMPOSITE;2;3;RANK_TOTAL_RETURN_DESC_V1;FX_NATIVE_PLUS_EUR_USD_V1;FX_RECALCULATE_EUR_USD_V1;STRUCTURE_PREFILLED;NOT_ACTIVE;TO_VALIDATE;0.1.0
TPL_MONETAIRE;MONETAIRE;;Monétaire;MONETAIRE;{SCOPE}_MONETAIRE;RB_{SCOPE}_MONETAIRE;PG_{SCOPE}_MONETAIRE;WTI_{SCOPE}_MONETAIRE;WTI_ELIGIBLE_PEERS_VERSIONED_V1;PEER_ARITHMETIC_MEAN_V1;PEER_MEDIAN_V1;BM_{SCOPE}_MONEY_MARKET;BM_{SCOPE}_TBILL_SHORT_TR;WTIB_{SCOPE}_MONETAIRE;WTIB_MONEY_MARKET_COMPOSITE_V1;RFR_{SCOPE}_DEFAULT;RISK_FREE_SERIES_SELECTION_V1;MAR_{SCOPE}_MONETAIRE;MAR_RISK_FREE_V1;FUND_BASE_100;WTI_{SCOPE}_MONETAIRE;BM_{SCOPE}_MONEY_MARKET;WTIB_{SCOPE}_MONETAIRE;2;3;RANK_TOTAL_RETURN_DESC_V1;FX_NATIVE_PLUS_EUR_USD_V1;FX_RECALCULATE_EUR_USD_V1;STRUCTURE_PREFILLED;NOT_ACTIVE;TO_VALIDATE;0.1.0
